group,series,t,algae,coral
2,7,59,0.4044137534223603,0.12350988488185564
2,7,60,0.4126751784553466,0.12290046147003941
2,7,61,0.4711698924115668,0.13327871292146784
2,7,62,0.41806482764600766,0.14575137843254468
2,7,63,0.41914590562763493,0.1469229271678151
2,7,64,0.4326124205689845,0.12528540960170192
2,7,65,0.41536674467050905,0.1243481844375339
2,7,66,0.4174270574878754,0.12305756655614325
2,7,67,0.422992517416092,0.11199640881460396
2,7,68,0.4324368427116526,0.12448633195332551
2,7,69,0.4149813351061166,0.12100437175956857
2,7,70,0.45222022144541024,0.1264469553356842
2,7,71,0.49486286206789354,0.12600438405987105
2,7,72,0.4453641734728218,0.1318802676724057
2,7,73,0.3988704734955124,0.11782938914319001
2,7,74,0.450961471946949,0.12360346790962978
2,7,75,0.4227152643534092,0.11320670144070526
2,8,1,0.10553078894656011,0.3149281258742946
2,8,2,0.09012401620183719,0.2635421270544547
2,8,3,0.09520625140101369,0.32319127813787707
2,8,4,0.10542059598688551,0.31651808354253413
2,8,5,0.11675306291399604,0.40423174264705086
2,8,6,0.09599092990693726,0.40517769649901086
2,8,7,0.11898991384406693,0.4629511082025169
2,8,8,0.10513220060750224,0.460559088498692
2,8,9,0.1162417244209269,0.5118728062451401
2,8,10,0.1262777361112348,0.517141648218151
2,8,11,0.10641878218891349,0.4728144373373932
2,8,12,0.11509692263909278,0.4965234925936332
2,8,13,0.12085593244191072,0.5020615133939446
2,8,14,0.1223740081538039,0.5045306870952593
2,8,15,0.143830668376378,0.5642232021117903
2,8,16,0.12521846177019433,0.5723131795249107
2,8,17,0.1375190422378644,0.5793697323085162
2,8,18,0.10968362877915497,0.5434162739500674
2,8,19,0.13099243653670894,0.6049893014874502
2,8,20,0.11585843986858504,0.5784876628885287
2,8,21,0.12466926967749892,0.5744912643249845
2,8,22,0.11925736859084535,0.6101737065087844
2,8,23,0.11726151300760457,0.6023574768419303
2,8,24,0.11594656645249078,0.6012080483041916
2,8,25,0.10737219662566032,0.6197124572560346
2,8,26,0.11987438810448595,0.6303241251636608
2,8,27,0.11600653983096497,0.6135505162771507
2,8,28,0.1361511507916681,0.6275808010302946
2,8,29,0.11654186915895676,0.6388985606751278
2,8,30,0.1034564056416164,0.618121752067566
2,8,31,0.1110608925555093,0.653339318610098
2,8,32,0.10511981009167404,0.6244495270051844
2,8,33,0.11063257307770823,0.6654362401598819
2,8,34,0.10989502747137721,0.6164508882588096
